. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #43	10   	-5057.08909	Yes        	4        	1.315    	0.052    	 0.16841   0.28232   0.35713   0.19214	-1.25629   0.26029   0.90804   0.08796  
      	     	          	           	          	           	             	                                      	 0.15526  -0.99499   0.31142   0.52830  
      	     	          	           	          	           	             	                                      	 0.42820   0.24619  -0.81819   0.14380  
      	     	          	           	          	           	             	                                      	 0.07710   0.77628   0.26728  -1.12067  
  #44	10   	-5115.66939	Yes        	4        	0.959    	0.002    	 0.16645   0.24469   0.38888   0.19998	-1.24909   0.33668   0.86764   0.04478  
      	     	          	           	          	           	             	                                      	 0.22903  -1.24412   0.34930   0.66579  
      	     	          	           	          	           	             	                                      	 0.37137   0.21978  -0.70355   0.11240  
      	     	          	           	          	           	             	                                      	 0.03727   0.81463   0.21857  -1.07046  
  #45	10   	-5250.27813	Yes        	4        	0.974    	0.000    	 0.17496   0.28178   0.37060   0.17267	-1.35311   0.33129   0.95849   0.06333  
      	     	          	           	          	           	             	                                      	 0.20570  -1.00239   0.26220   0.53450  
      	     	          	           	          	           	             	                                      	 0.45249   0.19936  -0.75647   0.10463  
      	     	          	           	          	           	             	                                      	 0.06417   0.87226   0.22456  -1.16099  
  #46	10   	-5080.19889	Yes        	4        	1.119    	0.117    	 0.17483   0.27415   0.36317   0.18784	-1.37261   0.38424   0.89273   0.09564  
      	     	          	           	          	           	             	                                      	 0.24504  -1.07699   0.26002   0.57193  
      	     	          	           	          	           	             	                                      	 0.42977   0.19629  -0.71399   0.08794  
      	     	          	           	          	           	             	                                      	 0.08902   0.83475   0.17002  -1.09379  
  #47	10   	-5252.58106	Yes        	4        	1.241    	0.036    	 0.16856   0.26997   0.37169   0.18978	-1.29428   0.34238   0.86501   0.08689  
      	     	          	           	          	           	             	                                      	 0.21377  -1.08941   0.34435   0.53129  
      	     	          	           	          	           	             	                                      	 0.39228   0.25012  -0.76464   0.12224  
      	     	          	           	          	           	             	                                      	 0.07717   0.75580   0.23942  -1.07239  
