. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_CCDC8_aln1_NT.addGroupNames.degap_0.3.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.20662  -1.11392   0.28396   0.62334  
      	     	          	           	          	           	             	                                      	 0.44903   0.21109  -0.73708   0.07697  
      	     	          	           	          	           	             	                                      	 0.13322   1.26707   0.21046  -1.61075  
  #54	16   	-9793.86260	Yes        	4        	1.616    	0.225    	 0.22818   0.27860   0.35140   0.14182	-1.15758   0.27049   0.80443   0.08267  
      	     	          	           	          	           	             	                                      	 0.22154  -0.97710   0.21793   0.53763  
      	     	          	           	          	           	             	                                      	 0.52235   0.17278  -0.76731   0.07219  
      	     	          	           	          	           	             	                                      	 0.13300   1.05613   0.17886  -1.36798  
  #55	16   	-10073.90302	Yes        	4        	2.606    	0.263    	 0.23009   0.25934   0.37736   0.13321	-1.13038   0.24128   0.79710   0.09199  
      	     	          	           	          	           	             	                                      	 0.21407  -1.02154   0.25832   0.54914  
      	     	          	           	          	           	             	                                      	 0.48603   0.17753  -0.74440   0.08083  
      	     	          	           	          	           	             	                                      	 0.15890   1.06906   0.22898  -1.45694  
  #56	16   	-9739.47001	Yes        	4        	2.172    	0.302    	 0.22561   0.26419   0.35988   0.15032	-1.07389   0.26863   0.72853   0.07673  
      	     	          	           	          	           	             	                                      	 0.22941  -1.12264   0.26343   0.62979  
      	     	          	           	          	           	             	                                      	 0.45673   0.19339  -0.71052   0.06041  
      	     	          	           	          	           	             	                                      	 0.11516   1.10682   0.14461  -1.36659  
  #57	16   	-9928.74235	Yes        	4        	1.646    	0.216    	 0.23874   0.26793   0.36738   0.12595	-1.01632   0.20745   0.72227   0.08660  
      	     	          	           	          	           	             	                                      	 0.18485  -1.05347   0.30164   0.56698  
      	     	          	           	          	           	             	                                      	 0.46936   0.21998  -0.75641   0.06706  
      	     	          	           	          	           	             	                                      	 0.16415   1.20608   0.19561  -1.56585  
  #58	16   	-9869.87363	Yes        	4        	3.738    	0.307    	 0.23515   0.26219   0.37215   0.13050	-1.09228   0.21746   0.78156   0.09325  
      	     	          	           	          	           	             	                                      	 0.19504  -1.00967   0.27571   0.53892  
      	     	          	           	          	           	             	                                      	 0.49385   0.19424  -0.76752   0.07943  
      	     	          	           	          	           	             	                                      	 0.16803   1.08272   0.22650  -1.47725  
  #59	16   	-10077.76317	Yes        	4        	2.145    	0.263    	 0.23149   0.27359   0.35422   0.14070	-1.09985   0.24962   0.74500   0.10523  
      	     	          	           	          	           	             	                                      	 0.21121  -1.01382   0.25623   0.54638  
      	     	          	           	          	           	             	                                      	 0.48688   0.19791  -0.75764   0.07285  
      	     	          	           	          	           	             	                                      	 0.17314   1.06246   0.18340  -1.41899  
  #60	16   	-10370.27115	Yes        	4        	1.939    	0.215    	 0.23682   0.27523   0.35919   0.12876	-1.04575   0.29735   0.68012   0.06828  
      	     	          	           	          	           	             	                                      	 0.25586  -1.07629   0.23301   0.58742  
      	     	          	           	          	           	             	                                      	 0.44842   0.17854  -0.70084   0.07388  
      	     	          	           	          	           	             	                                      	 0.12559   1.25564   0.20609  -1.58732  
  #61	16   	-10077.24829	Yes        	4        	3.365    	0.332    	 0.23264   0.27054   0.35921   0.13761	-1.02702   0.19630   0.74036   0.09035  
      	     	          	           	          	           	             	                                      	 0.16880  -1.02370   0.24394   0.61096  
      	     	          	           	          	           	             	                                      	 0.47948   0.18373  -0.74614   0.08293  
      	     	          	           	          	           	             	                                      	 0.15275   1.20117   0.21647  -1.57039  
  #62	16   	-10077.52151	Yes        	4        	1.831    	0.221    	 0.23727   0.26052   0.37250   0.12971	-0.97212   0.19684   0.65972   0.11556  
      	     	          	           	          	           	             	                                      	 0.17927  -1.07987   0.26160   0.63900  
      	     	          	           	          	           	             	                                      	 0.42021   0.18296  -0.69639   0.09322  
      	     	          	           	          	           	             	                                      	 0.21138   1.28339   0.26769  -1.76246  
  #63	16   	-10194.93279	Yes        	4        	2.662    	0.271    	 0.23682   0.28360   0.35036   0.12922	-1.06416   0.27045   0.70484   0.08888  
      	     	          	           	          	           	             	                                      	 0.22584  -1.02409   0.23366   0.56459  
      	     	          	           	          	           	             	                                      	 0.47642   0.18914  -0.72721   0.06165  
      	     	          	           	          	           	             	                                      	 0.16289   1.23912   0.16716  -1.56916  
  #64	16   	-10124.37633	Yes        	4        	2.025    	0.230    	 0.23160   0.27038   0.36468   0.13334	-1.04315   0.22876   0.72549   0.08891  
      	     	          	           	          	           	             	                                      	 0.19594  -1.03253   0.25479   0.58181  
